Ck,Ck_bias,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,,,
0.1,0.1,50,41.71098042,0.688662132,0,0,TRUE,FALSE,1,twospirals,[1.10528067],-0.004381286,[0.97453978],-0.007775728,0.0001,3,100,2,"[[28]
 [21]
 [ 0]]",,,
0.1,0.1,50,39.90307379,0.679591837,0,0,FALSE,TRUE,1,twospirals,[1.1053941],-0.004431333,[0.96005211],-0.00072829,0.0001,3,100,2,"[[27]
 [22]
 [ 0]]",,,
0.1,0.1,50,40.14832449,0.689795918,0,0,FALSE,FALSE,1,twospirals,[1.10563779],-0.004566399,[0.9520086],-0.000749573,0.0001,3,100,3,"[[25]
 [23]
 [ 2]]",,,
0.1,0.1,50,41.6956408,0.800907029,0,0,TRUE,TRUE,1,twospirals,[1.10462011],-0.004042981,[0.94340587],-0.00227903,1.00E-05,3,100,3,"[[26]
 [22]
 [ 1]]",,,
0.1,0.1,50,38.27483392,0.707256236,0,0,TRUE,FALSE,1,twospirals,[1.10502781],-0.004254415,[0.97414253],-0.005881312,1.00E-05,3,100,2,"[[28]
 [21]
 [ 0]]",,,
0.1,0.1,50,42.6737833,0.718820862,0,0,FALSE,TRUE,1,twospirals,[1.10640917],-0.004947578,[0.95544192],-0.001094894,1.00E-05,3,100,2,"[[27]
 [23]
 [ 0]]",,,
0.1,0.1,50,40.65808606,0.747619048,0,0,FALSE,FALSE,1,twospirals,[1.10623803],-0.004862099,[0.92912841],-0.000903645,1.00E-05,3,100,2,"[[27]
 [22]
 [ 0]]",,,
0.1,0.1,50,40.75090599,0.70952381,0,0,TRUE,TRUE,1,twospirals,[1.10421405],-0.003850162,[0.95555196],-0.001612498,1.00E-06,3,100,3,"[[26]
 [22]
 [ 1]]",,,
0.1,0.1,50,42.58724403,0.707936508,0,0,TRUE,FALSE,1,twospirals,[1.10483883],-0.004169649,[0.96595345],-0.000412857,1.00E-06,3,100,3,"[[25]
 [23]
 [ 2]]",,,
0.1,0.1,50,42.31945205,0.793877551,0,0,FALSE,TRUE,1,twospirals,[1.10387681],-0.003682765,[0.91029645],-0.001166665,1.00E-06,3,100,2,"[[26]
 [23]
 [ 0]]",,,
0.1,0.1,50,37.7275703,0.692970522,0,0,FALSE,FALSE,1,twospirals,[1.10456669],-0.004013922,[0.95851298],-0.000793226,1.00E-06,3,100,2,"[[27]
 [22]
 [ 0]]",,,
1,0.1,50,44.36753058,0.79047619,0,0,TRUE,TRUE,1,twospirals,[1.10491159],-0.004111487,[0.90599683],-0.00193998,0,3,100,2,"[[27]
 [23]
 [ 0]]",,,
1,0.1,50,40.98365188,0.784353741,0,0,TRUE,FALSE,1,twospirals,[1.105246],-0.004371655,[0.92318724],-0.002352775,0,3,100,2,"[[28]
 [22]
 [ 0]]",,,
1,0.1,50,43.31894922,0.799319728,0,0,FALSE,TRUE,1,twospirals,[1.10472169],-0.004085431,[0.90875377],-0.001548871,0,3,100,2,"[[26]
 [23]
 [ 0]]",,,
1,0.1,50,42.88023543,0.730385488,0,0,FALSE,FALSE,1,twospirals,[1.10534669],-0.004398466,[0.92912121],-0.003452803,0,3,100,2,"[[28]
 [21]
 [ 0]]",,,
1,0.1,50,40.50206423,0.78276644,0,0,TRUE,TRUE,1,twospirals,[1.10376304],-0.003625543,[0.92583307],-0.004567853,0.0001,3,100,2,"[[27]
 [22]
 [ 0]]",,,
1,0.1,50,39.96106362,0.742857143,0,0,TRUE,FALSE,1,twospirals,[1.10687842],-0.005155867,[0.93319256],-0.001192208,0.0001,3,100,2,"[[27]
 [23]
 [ 0]]",,,
1,0.1,50,43.05687356,0.7138322,0,0,FALSE,TRUE,1,twospirals,[1.10481781],-0.004137393,[0.95833077],-0.000820478,0.0001,3,100,3,"[[24]
 [24]
 [ 2]]",,,
1,0.1,50,40.10263634,0.689342404,0,0,FALSE,FALSE,1,twospirals,[1.10435307],-0.003921895,[0.96109235],-0.000589353,0.0001,3,100,3,"[[21]
 [24]
 [ 4]]",,,
1,0.1,50,41.5718925,0.665986395,0,0,TRUE,TRUE,1,twospirals,[1.10425766],-0.003869813,[0.95378695],-0.000952719,1.00E-05,3,100,3,"[[23]
 [22]
 [ 4]]",,,
1,0.1,50,40.67845368,0.790702948,0,0,TRUE,FALSE,1,twospirals,[1.10475404],-0.004132278,[0.90707391],-0.002404696,1.00E-05,3,100,2,"[[28]
 [22]
 [ 0]]",,,
Ck,Ck_bias,T,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,epochs,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,
0.1,0.1,50,39.48825836,0.689342404,0,0,TRUE,TRUE,1,twospirals,50,1.10920622,-0.003583382,0.960053762,-0.000874002,0,3,100,3,"[[23]
 [23]
 [ 2]]",,
0.1,0.1,50,43.59749341,0.732879819,0,0,TRUE,FALSE,1,twospirals,50,1.111271809,-0.004614948,0.94578654,-0.00101824,0,3,100,3,"[[24]
 [23]
 [ 2]]",,
